Genotype ,PLOT ID,Rep,Field Location,Growth Stage,Fresh Weight,Leaf Area
B73 x PHZ51,5147,2,HIPS,2,7.05,384.1
LH123HT x 3IIH6,5150,1,HIPS,2,8.03,392.2
LH123HT x 3IIH6,5150,2,HIPS,2,8.17,414
B14A x Mo17,5152,1,HIPS,2,6.11,441.3
B14A x Mo17,5152,2,HIPS,2,6.79,373.4
B37 x Mo17,5153,1,HIPS,2,5.8,334.2
B37 x Mo17,5153,2,HIPS,2,6.18,353.1
B73 x 3IIH6,5154,1,HIPS,2,8.06,386
B73 x 3IIH6,5154,2,HIPS,2,6.31,309.9
F42 x OH43,5160,1,HIPS,2,4.58,275.6
F42 x OH43,5160,2,HIPS,2,4.51,302.2
B84 x 3IIH6,5161,1,HIPS,2,8.81,417.5
B84 x 3IIH6,5161,2,HIPS,2,9.31,422.8
B37 x OH43,5162,1,HIPS,2,6.38,357.7
B37 x OH43,5162,2,HIPS,2,6.8,375.6
B73 x Mo17,5176,1,HIPS,2,8.66,457.6
B73 x Mo17,5176,2,HIPS,2,10.59,499.3
PHK76 x LH82,5182,1,HIPS,2,5.78,307.6
PHK76 x LH82,5182,2,HIPS,2,5.45,304.9
2FACC x 3IIH6,5201,1,HIPS,2,5.74,307.2
2FACC x 3IIH6,5201,2,HIPS,2,6.18,302.3
PHK76 x LH82,5206,1,HIPS,2,6.31,366.6
PHK76 x LH82,5206,2,HIPS,2,8.83,489
B37 x OH43,5210,1,HIPS,2,6.95,393.1
B37 x OH43,5210,2,HIPS,2,7.94,415.2
B84 x 3IIH6,5211,1,HIPS,2,9.14,437.4
B84 x 3IIH6,5211,2,HIPS,2,9.28,535.2
B37 x Mo17,5216,1,HIPS,2,6.6,344.8
B37 x Mo17,5216,2,HIPS,2,7.65,386.7
F42 x OH43,5220,1,HIPS,2,7.35,402.9
F42 x OH43,5220,2,HIPS,2,8.73,351.2
PHZ51 x LH145,5227,1,HIPS,2,5.48,322.7
